# Work Location Log for 2025
# Format: YYYY-MM-DD|WXX|DESIGNATION
# Week ends on Sunday, new week starts on Monday
# Valid designations: HOME(H), LAB(L), TRAVEL(T), WEEKEND(W), VACATION(V), HOLIDAY(X), OTHER(O)

2025-09-19|W38|VACATION
2025-09-26|W39|HOME
2025-09-27|W39|WEEKEND
2025-09-28|W39|WEEKEND
2025-10-01|W40|TRAVEL
2025-10-03|W40|TRAVEL
2025-10-04|W40|WEEKEND
2025-10-05|W40|WEEKEND
2025-10-06|W41|HOME
2025-10-07|W41|HOME
2025-10-08|W41|LAB
2025-10-09|W41|LAB
2025-10-10|W41|HOME
2025-10-11|W41|WEEKEND
2025-10-12|W41|WEEKEND
